Iteration,Median Score,Average Score,Median Time,Average Time,
0,56274.6601622921,56274.6601622921,46.64,46.64
1,53377.8372870874,53377.8372870874,164.503,164.503
2,51098.2695978947,51098.2695978947,412.77,412.77
3,50844.4904329991,50844.4904329991,699.528,699.528
4,49863.422656425,49863.422656425,1102.863,1102.863
5,50088.2456517629,50088.2456517629,1416.771,1416.771
6,49898.8331882522,49898.8331882522,2053.106,2053.106
7,50108.0406453787,50108.0406453787,2317.197,2317.197
8,49827.5541320593,49827.5541320593,3476.291,3476.291
9,49835.9226006554,49835.9226006554,3943.154,3943.154
