States	BW_8	BW_2	VIT_8	VIT_2
20	01.41545837466387000000	01.42958899698924000000	13.15838932970800000000	14.31434492649620000000
30	01.90679471224325000000	01.91348269972353000000	16.39753468821050000000	16.93545303865550000000
40	02.02686686564709000000	02.07455346349320000000	17.31638181832660000000	18.20546529714660000000
50	02.11952306628520000000	02.17344823380933000000	17.87286540215050000000	18.69379062577120000000
60	02.26310628561979000000	02.31901665948679000000	18.60847576707660000000	19.16808993817960000000
70	02.39080071867092000000	02.43387130098794000000	19.20361308746920000000	19.54565775207050000000
80	02.37790348480399000000	02.41925123693957000000	19.80493603790740000000	19.79196568792310000000
90	02.39825022322468000000	02.46245562130370000000	20.00703561857140000000	20.25076637452620000000
100	02.49150190075669000000	02.52976607724621000000	20.24338019714010000000	20.98554599528670000000
