States, Likelihood
2, -220876.45702072
3, -217767.783735317
4, -216936.015754326
5, -214635.430075545
6, -214610.364502957
7, -213321.267548158
8, -211882.586428881
9, -209267.906598674
10, -208517.499695007
11, -208279.127338476
12, -208278.373676327
13, -207410.356090198
14, -206903.794825972
15, -206671.01295176
16, -206417.993949616
17, -206287.515114901
18, -205852.552575746
19, -205837.751315854
20, -205319.613505792
21, -204912.335168987
22, -204706.452687666
23, -204374.442252724
24, -204254.008979943
25, -204205.364134741
26, -203687.477424089
27, -203544.12385858
28, -203536.425737745
29, -203206.591373938
30, -202932.224824046
31, -202726.702166849
32, -202509.301533004
